PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,25E0350R00,39625138,CR2,PRIME,,4,1235,23.115,08-05-25,,NA,NA,,0.041,0.074,0.246,0.014,0.009,0.008,0.052,0,45,0.03,0.006,0.016,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0356R00,27562364,CR2,PRIME,,4,1235,26.05,08-05-25,,NA,NA,,0.039,0.07,0.235,0.015,0.008,0.01,0.054,0,34,0.03,0.006,0.013,0.006,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0372R00,11049956,CR2,PRIME,,4,1235,25.905,08-05-25,,NA,NA,,0.04,0.077,0.22,0.009,0.012,0.009,0.06,0,36,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0376R00,11854192,CR2,PRIME,,4,1235,24.9,08-05-25,,NA,NA,,0.04,0.077,0.22,0.009,0.012,0.009,0.06,0,36,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0379P01,39844054,CR2,PRIME,CR2,4,1260,21.65,20-05-25,,NA,NA,,0.037,0.067,0.147,0.01,0.006,0.019,0.039,0.001,70,0.03,0.006,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0386R00,31741897,CR2,PRIME,,4,1235,22.015,09-05-25,,NA,NA,,0.039,0.075,0.22,0.017,0.006,0.014,0.053,0,38,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0387P01,73689237,CR2,PRIME,CR2,4,1260,25.92,19-05-25,,NA,NA,,0.044,0.067,0.145,0.011,0.007,0.015,0.055,0.001,44,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0388R00,89026565,CR2,PRIME,,4,1235,22.085,09-05-25,,NA,NA,,0.039,0.075,0.22,0.017,0.008,0.015,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0396R00,72746482,CR2,PRIME,,4,1235,22.095,09-05-25,,NA,NA,,0.039,0.075,0.22,0.017,0.008,0.015,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0406P01,92210057,CR2,PRIME,CR2,4,1260,25.915,20-05-25,,NA,NA,,0.044,0.067,0.145,0.011,0.007,0.015,0.039,0.001,44,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0409P01,89171448,CR2,PRIME,CR2,4,1260,25.99,19-05-25,,NA,NA,,0.034,0.067,0.17,0.012,0.011,0.008,0.039,0.001,42,0.03,0.004,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0413R00,34912331,CR2,PRIME,,4,1235,22.05,09-05-25,,NA,NA,,0.039,0.075,0.22,0.018,0.008,0.016,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0414R00,31006068,CR2,PRIME,,4,1235,22.01,09-05-25,,NA,NA,,0.039,0.075,0.22,0.018,0.008,0.016,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0415R00,17312262,CR2,PRIME,,4,1235,22.045,09-05-25,,NA,NA,,0.039,0.075,0.22,0.019,0.008,0.017,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0431R00,66353418,CR2,PRIME,,4,1235,24.86,09-05-25,,NA,NA,,0.039,0.075,0.23,0.019,0.008,0.017,0.055,0,35,0.03,0.005,0.011,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0441P01,93756149,CR2,PRIME,CR2,4,1260,25.975,20-05-25,,NA,NA,,0.034,0.067,0.17,0.012,0.011,0.008,0.055,0.001,42,0.03,0.004,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0453P01,77596220,CR2,PRIME,CR2,4,1260,21.96,20-05-25,,NA,NA,,0.044,0.067,0.145,0.011,0.007,0.015,0.055,0.001,44,0.03,0.004,0.015,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0459R00,18819064,CR2,PRIME,,4,1235,21.99,10-05-25,,NA,NA,,0.042,0.088,0.28,0.015,0.016,0.01,0.06,0,42,0.03,0.004,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0514R00,67320781,CR2,PRIME,,4,1235,26.025,26-05-25,,NA,NA,,0.046,0.075,0.21,0.018,0.01,0.01,0.056,0,40,0.03,0.007,0.014,0.009,0.01,475,325,0.001,80,500,350,756,0,1
