PLANT_CODE,MATERIAL_CODE,MATERIAL_DESC,BATCH_NO,BATCH_WEIGHT,STORAGE_LOC,BATCH_THICK,BATCH_WIDTH,RM_SOURCE,VENDOR,VENDOR_BATCH,GRN,PO_NO,PO_LINE_NO,PO_DELIVERY_DATE,MOVEMENT_TYPE,PRODUCT_GROUP,PRODUCT_TYPE,EQ_SPEC,EQ_SPEC_GROUP,EQ_SUB_SPEC,CHAPTER_ID,CHAPTER_TYPE,CROWN,SIMULATED_HEAT_NO,QA_MATCH_STATUS
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0582R0,27.415,2001,2.8,1260,0011000144,JSW Vijayanagar Metallics Limited,26237322,5000095929,4600000273,200,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,90638357,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0583R0,25.49,2001,2.8,1510,0011000144,JSW Vijayanagar Metallics Limited,26236787,5000095933,4600000273,210,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,15474472,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0584R0,27.38,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26237168,5000095939,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,94185213,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0585R0,27.38,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237272,5000095940,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,35537507,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0586R0,21.55,2001,1.6,1250,0011000144,JSW Vijayanagar Metallics Limited,26221602,5000095941,4600000273,270,16-03-26,101,HRC,COIL,11513:2017,BIS,SAE1006,72083990,N,7.453,87802645,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0587R0,23.67,2001,2.8,1260,0011000144,JSW Vijayanagar Metallics Limited,26237325,5000095942,4600000273,200,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,24679507,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0588R0,27.66,2001,2.5,1230,0011000144,JSW Vijayanagar Metallics Limited,26237698,5000095944,4600000273,150,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,78806042,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0589R0,27.1,2001,2,1235,0011000144,JSW Vijayanagar Metallics Limited,26228530,5000095952,4600000273,130,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,66529376,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0590R0,27.32,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230572,5000095953,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,81182184,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0591R0,27.38,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237370,5000095954,4600000273,160,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,73011990,MATCHED
